time(s),voltage (v)
0.0,0.0
1.0005002501250626e-06,0.01257257413544049
2.001000500250125e-06,0.02514465143046724
3.0015007503751877e-06,0.037715735064300544
4.00200100050025e-06,0.050285328255427995
5.002501250625313e-06,0.0628529342812362
6.003001500750375e-06,0.07541805649764018
7.003501750875438e-06,0.08798019835870956
8.0040020010005e-06,0.10053886343629113
9.004502251125564e-06,0.11309355543962643
1.0005002501250626e-05,0.12564377823496414
1.1005502751375687e-05,0.13818903586516626
1.200600300150075e-05,0.15072883256930708
1.3006503251625814e-05,0.16326267280226467
1.4007003501750876e-05,0.17579006125430374
1.5007503751875938e-05,0.18831050287064915
1.6008004002001e-05,0.20082350287104944
1.7008504252126064e-05,0.21332856676932926
1.8009004502251128e-05,0.2258252003929307
1.9009504752376188e-05,0.2383129099024415
2.001000500250125e-05,0.25079120181111103
2.1010505252626315e-05,0.2632595830043512
2.2011005502751375e-05,0.27571756075922366
2.3011505752876438e-05,0.28816464276391107
2.40120060030015e-05,0.300600337137172
2.5012506253126565e-05,0.31302415244777904
2.6013006503251628e-05,0.3254355977339395
2.7013506753376688e-05,0.33783418252269637
2.8014007003501752e-05,0.35021941684931146
2.9014507253626815e-05,0.3625908112766272
3.0015007503751875e-05,0.3749478769144084
3.101550775387694e-05,0.38729012543866226
3.2016008004002e-05,0.3996170691109351
3.301650825412706e-05,0.41192822079758784
3.401700850425213e-05,0.42422309398904556
3.501750875437719e-05,0.43650120281902366
3.6018009004502256e-05,0.4487620620837281
3.7018509254627316e-05,0.46100518726102957
3.8019009504752376e-05,0.47323009452961096
3.901950975487744e-05,0.4854363007880868
4.00200100050025e-05,0.49762332367409395
4.102051025512756e-05,0.5097906815833543
4.202101050525263e-05,0.521937893688706
4.302151075537769e-05,0.534064479959105
4.402201100550275e-05,0.5461699611785948
4.5022511255627816e-05,0.5582538589652443
4.6023011505752876e-05,0.5703156957900513
4.702351175587794e-05,0.5823549949958149
4.8024012006003e-05,0.594371280815971
4.902451225612806e-05,0.6063640783933937
5.002501250625313e-05,0.6183329137991607
5.102551275637819e-05,0.630277314051282
5.2026013006503257e-05,0.6421968071333909
5.3026513256628317e-05,0.6540909220133971
5.4027013506753377e-05,0.665959188662101
5.5027513756878443e-05,0.6778011380717682
5.6028014007003503e-05,0.6896163022746633
5.7028514257128563e-05,0.7014042143615437
5.802901450725363e-05,0.7131644085001096
5.902951475737869e-05,0.7248964199534143
